94908KDBQ DBQ20050501000009505/01/05 00:00:49  5-MIN KDBQ 010600Z 22003KT 10SM CLR 01/M02 A2999 1010 85 -400 220/03 RMK AO2
94908KDBQ DBQ20050501000509505/01/05 00:05:31  5-MIN KDBQ 010605Z 22003KT 10SM CLR 01/M02 A2999 1010 85 -400 220/03 RMK AO2
94908KDBQ DBQ20050501001009505/01/05 00:10:31  5-MIN KDBQ 010610Z 22003KT 10SM CLR 00/M02 A2999 1020 88 -500 210/03 RMK AO2
94908KDBQ DBQ20050501001509505/01/05 00:15:32  5-MIN KDBQ 010615Z 22003KT 10SM CLR 00/M02 A2999 1020 85 -500 220/03 RMK AO2
94908KDBQ DBQ20050501002009405/01/05 00:20:31  5-MIN KDBQ 010620Z 22003KT 9SM CLR 00/M02 A2998 1020 85 -500 220/03 RMK AO2
94908KDBQ DBQ20050501002509405/01/05 00:25:31  5-MIN KDBQ 010625Z 21003KT 9SM CLR 00/M02 A2998 1020 85 -500 210/03 RMK AO2
94908KDBQ DBQ20050501003009505/01/05 00:30:31  5-MIN KDBQ 010630Z 22004KT 9SM CLR M01/M03 A2998 1020 85 -500 210/04 RMK AO2
94908KDBQ DBQ20050501003509505/01/05 00:35:31  5-MIN KDBQ 010635Z 21004KT 9SM CLR M01/M03 A2998 1020 85 -500 210/04 RMK AO2
94908KDBQ DBQ20050501004009805/01/05 00:40:31  5-MIN KDBQ 010640Z 22004KT 9SM FEW110 M01/M03 A2998 1020 85 -500 220/04 RMK AO2
94908KDBQ DBQ20050501004509805/01/05 00:45:31  5-MIN KDBQ 010645Z 23005KT 8SM SCT100 M01/M02 A2998 1030 88 -500 220/05 RMK AO2
94908KDBQ DBQ20050501005011405/01/05 00:50:31  5-MIN KDBQ 010650Z 23005KT 8SM SCT090 00/M02 A2998 1030 85 -500 220/05 RMK AO2 SLP159 T00001022
94908KDBQ DBQ20050501115013105/01/05 11:50:31  5-MIN KDBQ 011750Z 29017KT 10SM OVC070 06/M05 A3003 980 45 200 290/17 RMK AO2 SLP176 T00611050 10072 20028 51008
94908KDBQ DBQ20050501115516205/01/05 11:55:31  5-MIN KDBQ 011755Z 30020G27KT 10SM FEW055 OVC070 06/M05 A3003 970 45 200 290/20G27 RMK AO2 PK WND 30027/1755 SLP179 T00611050 10072 20028 53008
94908KDBQ DBQ20050501120012105/01/05 12:00:31  5-MIN KDBQ 011800Z 31019G27KT 10SM OVC065 06/M05 A3003  980 46 100 310/19G27 RMK AO2 PK WND 31027/1757
94908KDBQ DBQ20050501120511405/01/05 12:05:31  5-MIN KDBQ 011805Z 31014KT 10SM OVC065 06/M04 A3003 980 48 100 310/14 RMK AO2 PK WND 31027/1757
94908KDBQ DBQ20050501121012205/01/05 12:10:31  5-MIN KDBQ 011810Z 30014KT 10SM BKN060 OVC070 06/M04  A3002 990 50 100 300/14 RMK AO2 PK WND 31027/1757
94908KDBQ DBQ20050501121513405/01/05 12:15:31  5-MIN KDBQ 011815Z 30016G20KT 10SM FEW044 BKN060 OVC070 06/M04 A3002 990 48 100 300/16G20 RMK AO2 PK WND 31027/1757
94908KDBQ DBQ20050501122012705/01/05 12:20:31  5-MIN KDBQ 011820Z 29019G22KT 10SM FEW044 OVC060 06/M04 A3002 990 48 200 290/19G22 RMK AO2 PK WND 31027/1757
94908KDBQ DBQ20050501122512105/01/05 12:25:31  5-MIN KDBQ 011825Z 30017G22KT 10SM OVC065 06/M05 A3002  990 45 200 300/17G22 RMK AO2 PK WND 31027/1757
94908KDBQ DBQ20050501123012205/01/05 12:30:31  5-MIN KDBQ 011830Z 30017KT 10SM SCT060 OVC070 06/M05  A3001 990 45 200 300/17 RMK AO2 PK WND 31027/1757
94908KDBQ DBQ20050501123512205/01/05 12:35:31  5-MIN KDBQ 011835Z 31014KT 10SM SCT060 OVC075 06/M04  A3001 990 46 200 310/14 RMK AO2 PK WND 31027/1757
94908KDBQ DBQ20050501124012905/01/05 12:40:31  5-MIN KDBQ 011840Z 30015KT 10SM FEW049 SCT055 OVC075  06/M04 A3001 990 46 200 290/15 RMK AO2 PK WND 31027/1757
94908KDBQ DBQ20050501124513405/01/05 12:45:31  5-MIN KDBQ 011845Z 29019G25KT 10SM SCT046 BKN060 OVC075 06/M04 A3002 990 50 100 290/19G25 RMK AO2 PK WND 31027/1757
94908KDBQ DBQ20050501125015205/01/05 12:50:31  5-MIN KDBQ 011850Z 29016G25KT 10SM FEW040 BKN049 OVC070 06/M04 A3002 990 50 100 290/16G25 RMK AO2 PK WND 31027/1757 SLP174  T00561039
94908KDBQ DBQ20050501125514605/01/05 12:55:31  5-MIN KDBQ 011855Z 30014KT 10SM FEW040 SCT050 OVC070  06/M04 A3002 990 50 100 300/14 RMK AO2 PK WND 31027/1757 SLP174 T00561039
94908KDBQ DBQ20050501130011105/01/05 13:00:31  5-MIN KDBQ 011900Z 30017KT 10SM FEW045 SCT055 OVC070  06/M03 A3002 990 51 200 300/17 RMK AO2
94908KDBQ DBQ20050501130510905/01/05 13:05:31  5-MIN KDBQ 011905Z 29018G23KT 10SM SCT048 OVC070 06/M04 A3002 990 50 100 290/18G23 RMK AO2
94908KDBQ DBQ20050501131011605/01/05 13:10:31  5-MIN KDBQ 011910Z 28014G23KT 10SM FEW046 SCT055 OVC070 06/M04 A3002 990 48 200 280/14G23 RMK AO2
94908KDBQ DBQ20050501131511605/01/05 13:15:31  5-MIN KDBQ 011915Z 28019G23KT 10SM FEW046 BKN060 OVC075 06/M04 A3002 990 46 200 280/19G23 RMK AO2
94908KDBQ DBQ20050501132013405/01/05 13:20:31  5-MIN KDBQ 011920Z 30022G26KT 10SM SCT044 BKN060 OVC075 06/M04 A3002 980 50 100 300/22G26 RMK AO2 PK WND 29026/1919
94908KDBQ DBQ20050501132512705/01/05 13:25:31  5-MIN KDBQ 011925Z 29015G26KT 10SM FEW044 OVC065 05/M03 A3002 990 55 100 290/15G26 RMK AO2 PK WND 29026/1919
94908KDBQ DBQ20050501133012905/01/05 13:30:31  5-MIN KDBQ 011930Z 28016KT 10SM SCT049 BKN070 OVC080  06/M04 A3002 990 50 100 280/16 RMK AO2 PK WND 29026/1919
94908KDBQ DBQ20050501133512905/01/05 13:35:31  5-MIN KDBQ 011935Z 28017KT 10SM FEW049 BKN065 OVC080  06/M03 A3002 990 51 200 280/17 RMK AO2 PK WND 29026/1919
94908KDBQ DBQ20050501134013405/01/05 13:40:31  5-MIN KDBQ 011940Z 30019G26KT 10SM FEW046 BKN060 OVC085 06/M04 A3002 990 50 100 300/19G26 RMK AO2 PK WND 28026/1937
94908KDBQ DBQ20050501134512705/01/05 13:45:31  5-MIN KDBQ 011945Z 30015G26KT 10SM FEW043 OVC065 06/M04 A3002 980 50 100 300/15G26 RMK AO2 PK WND 28026/1937
94908KDBQ DBQ20050501135013905/01/05 13:50:31  5-MIN KDBQ 011950Z 29016KT 10SM BKN065 OVC080 06/M04  A3002 980 50 100 290/16 RMK AO2 PK WND 28026/1937 SLP176 T00561039
94908KDBQ DBQ20050501135514405/01/05 13:55:31  5-MIN KDBQ 011955Z 30017G22KT 10SM BKN065 OVC080 06/M04 A3002 980 48 200 300/17G22 RMK AO2 PK WND 28026/1937 SLP176 T00611039
94908KDBQ DBQ20050501140010905/01/05 14:00:31  5-MIN KDBQ 012000Z 29017G22KT 10SM SCT060 OVC080 06/M03 A3002 980 51 200 290/17G22 RMK AO2
94908KDBQ DBQ20050501140510905/01/05 14:05:31  5-MIN KDBQ 012005Z 29017G22KT 10SM SCT060 OVC080 06/M04 A3002 980 48 200 290/17G22 RMK AO2
94908KDBQ DBQ20050501141010905/01/05 14:10:31  5-MIN KDBQ 012010Z 30018G23KT 10SM SCT065 OVC080 06/M04 A3002 980 46 200 300/18G23 RMK AO2
94908KDBQ DBQ20050501141510305/01/05 14:15:31  5-MIN KDBQ 012015Z 29018G23KT 10SM OVC080 06/M04 A3002  990 46 200 290/18G23 RMK AO2
94908KDBQ DBQ20050501142009605/01/05 14:20:31  5-MIN KDBQ 012020Z 28017KT 10SM OVC075 06/M04 A3002 990 46 200 280/17 RMK AO2
94908KDBQ DBQ20050501142510305/01/05 14:25:31  5-MIN KDBQ 012025Z 28019G25KT 10SM OVC075 06/M04 A3002  990 46 200 280/19G25 RMK AO2
94908KDBQ DBQ20050501143012105/01/05 14:30:31  5-MIN KDBQ 012030Z 28018G26KT 10SM OVC075 06/M04 A3002  990 46 200 280/18G26 RMK AO2 PK WND 28026/2027
94908KDBQ DBQ20050501143512705/01/05 14:35:31  5-MIN KDBQ 012035Z 28020G26KT 10SM FEW060 OVC075 06/M04 A3002 990 46 200 270/20G26 RMK AO2 PK WND 28026/2027
94908KDBQ DBQ20050501144012105/01/05 14:40:31  5-MIN KDBQ 012040Z 27022G25KT 10SM OVC070 06/M04 A3002  990 46 200 270/22G25 RMK AO2 PK WND 28026/2027
94908KDBQ DBQ20050501144511405/01/05 14:45:31  5-MIN KDBQ 012045Z 28019KT 10SM OVC070 06/M04 A3002 990 48 200 280/19 RMK AO2 PK WND 28026/2027
94908KDBQ DBQ20050501145015005/01/05 14:50:31  5-MIN KDBQ 012050Z 27018G23KT 10SM BKN070 OVC080 06/M04 A3001 990 46 200 270/18G23 RMK AO2 PK WND 28026/2027 SLP172 T00611044 53008
94908KDBQ DBQ20050501145515205/01/05 14:55:31  5-MIN KDBQ 012055Z 27018G23KT 10SM BKN070 OVC080 06/M04 A3001 1000 48 200 270/18G23 RMK AO2 PK WND 28026/2027 SLP171 T00611039  56008
94908KDBQ DBQ20050501150011605/01/05 15:00:31  5-MIN KDBQ 012100Z 28013G22KT 10SM FEW050 BKN065 OVC080 06/M04 A3001 990 48 200 280/13G22 RMK AO2
94908KDBQ DBQ20050501150511605/01/05 15:05:31  5-MIN KDBQ 012105Z 28019G25KT 10SM SCT050 BKN065 OVC080 06/M04 A3002 990 48 200 280/19G25 RMK AO2
94908KDBQ DBQ20050501151013405/01/05 15:10:31  5-MIN KDBQ 012110Z 29023G28KT 10SM BKN050 BKN065 OVC080 06/M04 A3002 990 50 100 280/23G28 RMK AO2 PK WND 29028/2110
94908KDBQ DBQ20050501151512705/01/05 15:15:31  5-MIN KDBQ 012115Z 29020G28KT 10SM BKN050 OVC065 05/M03 A3002 990 55 100 290/20G28 RMK AO2 PK WND 29028/2110
94908KDBQ DBQ20050501152012105/01/05 15:20:31  5-MIN KDBQ 012120Z 29018G25KT 10SM OVC060 06/M03 A3002  990 53 100 290/18G25 RMK AO2 PK WND 29028/2110
94908KDBQ DBQ20050501152512705/01/05 15:25:31  5-MIN KDBQ 012125Z 30017G24KT 10SM SCT049 OVC065 06/M03 A3002 990 53 100 300/17G24 RMK AO2 PK WND 29028/2110
94908KDBQ DBQ20050501153012205/01/05 15:30:31  5-MIN KDBQ 012130Z 29013KT 10SM SCT049 OVC070 06/M03  A3002 990 53 100 280/13 RMK AO2 PK WND 29028/2110
94908KDBQ DBQ20050501153512205/01/05 15:35:31  5-MIN KDBQ 012135Z 29016KT 10SM FEW050 OVC065 06/M04  A3001 990 50 100 290/16 RMK AO2 PK WND 29028/2110
94908KDBQ DBQ20050501154012105/01/05 15:40:31  5-MIN KDBQ 012140Z 28015G23KT 10SM OVC065 06/M04 A3001  990 48 100 280/15G23 RMK AO2 PK WND 29028/2110
94908KDBQ DBQ20050501154512705/01/05 15:45:31  5-MIN KDBQ 012145Z 29017G24KT 10SM BKN065 OVC080 06/M05 A3001 990 46 100 280/17G24 RMK AO2 PK WND 29028/2110
94908KDBQ DBQ20050501155014405/01/05 15:50:31  5-MIN KDBQ 012150Z 28020G24KT 10SM BKN065 OVC080 06/M04 A3001 990 48 100 280/20G24 RMK AO2 PK WND 29028/2110 SLP172 T00561044
94908KDBQ DBQ20050501155514405/01/05 15:55:31  5-MIN KDBQ 012155Z 28015G24KT 10SM SCT065 OVC080 06/M04 A3001 990 50 100 280/15G24 RMK AO2 PK WND 29028/2110 SLP172 T00561039
94908KDBQ DBQ20050501160010405/01/05 16:00:31  5-MIN KDBQ 012200Z 28014KT 10SM FEW065 OVC085 06/M04  A3001 990 48 200 280/14 RMK AO2
94908KDBQ DBQ20050501160510405/01/05 16:05:31  5-MIN KDBQ 012205Z 29019KT 10SM FEW065 OVC085 06/M04  A3001 990 48 200 280/19 RMK AO2
94908KDBQ DBQ20050501161010405/01/05 16:10:31  5-MIN KDBQ 012210Z 28015KT 10SM FEW060 OVC085 06/M04  A3001 990 48 100 280/15 RMK AO2
94908KDBQ DBQ20050501161513405/01/05 16:15:31  5-MIN KDBQ 012215Z 30023G27KT 10SM FEW048 SCT065 OVC085 06/M04 A3001 990 50 100 300/23G27 RMK AO2 PK WND 31027/2215
94908KDBQ DBQ20050501162013405/01/05 16:20:31  5-MIN KDBQ 012220Z 30016G27KT 10SM FEW046 BKN060 OVC085 05/M03 A3002 990 57 100 300/16G27 RMK AO2 PK WND 31027/2215
94908KDBQ DBQ20050501162513205/01/05 16:25:31  5-MIN KDBQ 012225Z 30018G24KT 10SM FEW037 BKN060 OVC085 04/M02 A3002 990 62 0 300/18G24 RMK AO2 PK WND 31027/2215
94908KDBQ DBQ20050501163013205/01/05 16:30:31  5-MIN KDBQ 012230Z 30016G24KT 10SM FEW037 BKN055 OVC085 04/M02 A3002 990 62 0 300/16G24 RMK AO2 PK WND 31027/2215
94908KDBQ DBQ20050501163513205/01/05 16:35:31  5-MIN KDBQ 012235Z 30015G23KT 10SM SCT045 BKN060 OVC075 04/M03 A3002 990 59 0 290/15G23 RMK AO2 PK WND 31027/2215
94908KDBQ DBQ20050501164013405/01/05 16:40:31  5-MIN KDBQ 012240Z 30015G22KT 10SM SCT049 BKN065 OVC080 05/M03 A3002 990 57 100 300/15G22 RMK AO2 PK WND 31027/2215
94908KDBQ DBQ20050501164512905/01/05 16:45:31  5-MIN KDBQ 012245Z 30014KT 10SM SCT049 BKN070 OVC080  05/M03 A3002 990 57 100 290/14 RMK AO2 PK WND 31027/2215
94908KDBQ DBQ20050501165014605/01/05 16:50:31  5-MIN KDBQ 012250Z 30013KT 10SM FEW045 BKN060 OVC080  05/M03 A3002 990 57 100 290/13 RMK AO2 PK WND 31027/2215 SLP173 T00501028
94908KDBQ DBQ20050501165514405/01/05 16:55:31  5-MIN KDBQ 012255Z 29014G21KT 10SM SCT060 OVC080 05/M03 A3002 990 55 100 290/14G21 RMK AO2 PK WND 31027/2215 SLP173 T00501033
94908KDBQ DBQ20050501170010905/01/05 17:00:31  5-MIN KDBQ 012300Z 29016G20KT 10SM BKN070 OVC080 05/M03 A3001 990 55 100 290/16G20 RMK AO2
94908KDBQ DBQ20050501170510905/01/05 17:05:31  5-MIN KDBQ 012305Z 28013G20KT 10SM BKN065 OVC080 05/M03 A3001 990 55 100 270/13G20 RMK AO2
94908KDBQ DBQ20050501171009405/01/05 17:10:31  5-MIN KDBQ 012310Z 27014KT 10SM OVC070 04/M03 A3001 990 57 0 270/14 RMK AO2
94908KDBQ DBQ20050501171509505/01/05 17:15:31  5-MIN KDBQ 012315Z 28015KT 10SM OVC070 04/M03 A3001 1000 59 0 270/15 RMK AO2
94908KDBQ DBQ20050501172009505/01/05 17:20:31  5-MIN KDBQ 012320Z 27014KT 10SM OVC075 04/M02 A3001 1000 62 0 270/14 RMK AO2
94908KDBQ DBQ20050501172509405/01/05 17:25:31  5-MIN KDBQ 012325Z 28012KT 10SM OVC075 04/M02 A3001 990 62 0 270/12 RMK AO2
94908KDBQ DBQ20050501173010105/01/05 17:30:31  5-MIN KDBQ 012330Z 27015G19KT 10SM OVC075 04/M02 A3001  990 62 0 270/15G19 RMK AO2
94908KDBQ DBQ20050501173510105/01/05 17:35:31  5-MIN KDBQ 012335Z 28015G21KT 10SM OVC075 04/M02 A3001  990 62 0 270/15G21 RMK AO2
94908KDBQ DBQ20050501174010105/01/05 17:40:31  5-MIN KDBQ 012340Z 28018G25KT 10SM OVC075 04/M02 A3001  990 62 0 280/18G25 RMK AO2
94908KDBQ DBQ20050501174511905/01/05 17:45:31  5-MIN KDBQ 012345Z 28019G26KT 10SM OVC075 04/M02 A3001  990 62 0 280/19G26 RMK AO2 PK WND 28026/2345
94908KDBQ DBQ20050501175015505/01/05 17:50:31  5-MIN KDBQ 012350Z 28016G26KT 10SM OVC070 04/M02 A3002  990 62 0 280/16G26 RMK AO2 PK WND 28026/2345 SLP173 T00441022 10061 20044  56008
94908KDBQ DBQ20050501175515505/01/05 17:55:31  5-MIN KDBQ 012355Z 28015G23KT 10SM OVC070 04/M02 A3001  990 62 0 280/15G23 RMK AO2 PK WND 28026/2345 SLP172 T00441022 10061 20044  50001
94908KDBQ DBQ20050501180010105/01/05 18:00:31  5-MIN KDBQ 020000Z 28014G23KT 10SM OVC070 04/M03 A3002  990 62 0 280/14G23 RMK AO2
94908KDBQ DBQ20050501180509405/01/05 18:05:31  5-MIN KDBQ 020005Z 28013KT 10SM OVC070 04/M03 A3002 990 62 0 280/13 RMK AO2
94908KDBQ DBQ20050501181009405/01/05 18:10:31  5-MIN KDBQ 020010Z 28012KT 10SM OVC070 04/M03 A3001 990 62 0 280/12 RMK AO2
94908KDBQ DBQ20050501181510105/01/05 18:15:31  5-MIN KDBQ 020015Z 28012G19KT 10SM OVC070 04/M03 A3001  990 59 0 280/12G19 RMK AO2
94908KDBQ DBQ20050501182009405/01/05 18:20:31  5-MIN KDBQ 020020Z 28012KT 10SM OVC075 04/M03 A3002 990 59 0 280/12 RMK AO2
94908KDBQ DBQ20050501182509405/01/05 18:25:31  5-MIN KDBQ 020025Z 28010KT 10SM OVC075 04/M03 A3002 990 59 0 280/10 RMK AO2
94908KDBQ DBQ20050501183009405/01/05 18:30:31  5-MIN KDBQ 020030Z 28011KT 10SM OVC080 04/M03 A3001 990 59 0 280/11 RMK AO2
94908KDBQ DBQ20050501183510405/01/05 18:35:31  5-MIN KDBQ 020035Z AUTO 27012KT 10SM OVC080 04/M03 A3001 990 57 0 270/12 RMK AO2 TSNO
94908KDBQ DBQ20050501184010405/01/05 18:40:31  5-MIN KDBQ 020040Z AUTO 27011KT 10SM OVC080 04/M03 A3001 990 57 0 270/11 RMK AO2 TSNO
94908KDBQ DBQ20050501184510405/01/05 18:45:31  5-MIN KDBQ 020045Z AUTO 27011KT 10SM OVC080 04/M03 A3001 990 57 0 270/11 RMK AO2 TSNO
94908KDBQ DBQ20050501185012105/01/05 18:50:31  5-MIN KDBQ 020050Z AUTO 28012KT 10SM OVC080 04/M03 A3001 990 57 0 280/12 RMK AO2 SLP172 T00441033 TSNO
94908KDBQ DBQ20050501185512105/01/05 18:55:31  5-MIN KDBQ 020055Z AUTO 27011KT 10SM OVC080 04/M04 A3001 990 55 0 270/11 RMK AO2 SLP172 T00441039 TSNO
94908KDBQ DBQ20050501190010405/01/05 19:00:31  5-MIN KDBQ 020100Z AUTO 28011KT 10SM OVC080 04/M04 A3001 990 57 0 280/11 RMK AO2 TSNO
94908KDBQ DBQ20050501190510405/01/05 19:05:31  5-MIN KDBQ 020105Z AUTO 28011KT 10SM BKN080 04/M04 A3001 990 57 0 280/11 RMK AO2 TSNO
94908KDBQ DBQ20050501191010705/01/05 19:10:31  5-MIN KDBQ 020110Z AUTO 27010KT 10SM BKN080 03/M04 A3002 990 59 -100 270/10 RMK AO2 TSNO
94908KDBQ DBQ20050501191511505/01/05 19:15:31  5-MIN KDBQ 020115Z AUTO 27010KT 10SM FEW065 SCT080  03/M04 A3001 990 59 -100 270/10 RMK AO2 TSNO
94908KDBQ DBQ20050501192011505/01/05 19:20:31  5-MIN KDBQ 020120Z AUTO 27009KT 10SM FEW070 SCT080  03/M04 A3001 990 59 -100 270/09 RMK AO2 TSNO
94908KDBQ DBQ20050501192510705/01/05 19:25:31  5-MIN KDBQ 020125Z AUTO 27008KT 10SM FEW070 03/M04 A3002 990 59 -100 270/08 RMK AO2 TSNO
94908KDBQ DBQ20050501193010705/01/05 19:30:31  5-MIN KDBQ 020130Z AUTO 28009KT 10SM FEW070 03/M04 A3002 990 61 -200 270/09 RMK AO2 TSNO
94908KDBQ DBQ20050501193510705/01/05 19:35:31  5-MIN KDBQ 020135Z AUTO 27008KT 10SM FEW070 03/M04 A3002 990 61 -200 270/08 RMK AO2 TSNO
94908KDBQ DBQ20050501194010705/01/05 19:40:31  5-MIN KDBQ 020140Z AUTO 27008KT 10SM SCT065 03/M04 A3002 990 59 -200 270/08 RMK AO2 TSNO
94908KDBQ DBQ20050501194510705/01/05 19:45:31  5-MIN KDBQ 020145Z AUTO 27008KT 10SM SCT065 03/M04 A3002 990 61 -200 270/08 RMK AO2 TSNO
94908KDBQ DBQ20050501195012405/01/05 19:50:31  5-MIN KDBQ 020150Z AUTO 27008KT 10SM BKN065 03/M04 A3002 990 59 -100 270/08 RMK AO2 SLP175 T00331039 TSNO
94908KDBQ DBQ20050501195512405/01/05 19:55:31  5-MIN KDBQ 020155Z AUTO 27009KT 10SM BKN060 03/M04 A3002 980 57 -100 270/09 RMK AO2 SLP175 T00331044 TSNO
94908KDBQ DBQ20050501200010405/01/05 20:00:31  5-MIN KDBQ 020200Z AUTO 27010KT 10SM BKN065 04/M04 A3002 980 54 0 270/10 RMK AO2 TSNO
94908KDBQ DBQ20050501200510405/01/05 20:05:31  5-MIN KDBQ 020205Z AUTO 27010KT 10SM OVC065 04/M04 A3002 980 54 0 260/10 RMK AO2 TSNO
94908KDBQ DBQ20050501201010705/01/05 20:10:31  5-MIN KDBQ 020210Z AUTO 27010KT 10SM OVC065 03/M04 A3003 980 57 -100 270/10 RMK AO2 TSNO
94908KDBQ DBQ20050501201510705/01/05 20:15:31  5-MIN KDBQ 020215Z AUTO 27011KT 10SM BKN065 03/M04 A3003 980 57 -100 270/11 RMK AO2 TSNO
94908KDBQ DBQ20050501202010705/01/05 20:20:31  5-MIN KDBQ 020220Z AUTO 26009KT 10SM BKN065 03/M04 A3003 980 59 -200 260/09 RMK AO2 TSNO
94908KDBQ DBQ20050501202510705/01/05 20:25:31  5-MIN KDBQ 020225Z AUTO 27008KT 10SM BKN070 03/M04 A3003 980 59 -200 260/08 RMK AO2 TSNO
94908KDBQ DBQ20050501203010705/01/05 20:30:31  5-MIN KDBQ 020230Z AUTO 27011KT 10SM BKN075 03/M04 A3003 980 59 -200 270/11 RMK AO2 TSNO
94908KDBQ DBQ20050501203510705/01/05 20:35:31  5-MIN KDBQ 020235Z AUTO 27014KT 10SM BKN075 03/M04 A3003 980 57 -100 270/14 RMK AO2 TSNO
94908KDBQ DBQ20050501204010705/01/05 20:40:31  5-MIN KDBQ 020240Z AUTO 28011KT 10SM SCT080 03/M04 A3003 980 59 -100 270/11 RMK AO2 TSNO
94908KDBQ DBQ20050501204511505/01/05 20:45:31  5-MIN KDBQ 020245Z AUTO 28010KT 10SM SCT065 BKN080  03/M04 A3003 980 59 -100 270/10 RMK AO2 TSNO
94908KDBQ DBQ20050501205013805/01/05 20:50:31  5-MIN KDBQ 020250Z AUTO 28009KT 10SM SCT065 BKN080  03/M04 A3003 980 59 -100 280/09 RMK AO2 SLP176 T00331039 50001 TSNO
94908KDBQ DBQ20050501205514505/01/05 20:55:31  5-MIN KDBQ 020255Z AUTO 28010KT 10SM FEW060 BKN075  BKN090 03/M03 A3003 980 61 -100 280/10 RMK AO2 SLP176 T00331033 53004 TSNO
94908KDBQ DBQ20050501210011505/01/05 21:00:31  5-MIN KDBQ 020300Z AUTO 27009KT 10SM FEW065 BKN085  03/M03 A3003 980 61 -100 270/09 RMK AO2 TSNO
94908KDBQ DBQ20050501210512205/01/05 21:05:31  5-MIN KDBQ 020305Z AUTO 27009KT 10SM FEW050 SCT060  OVC085 03/M03 A3003 980 61 -100 270/09 RMK AO2 TSNO
94908KDBQ DBQ20050501211012205/01/05 21:10:31  5-MIN KDBQ 020310Z AUTO 27010KT 10SM FEW050 BKN065  OVC085 03/M03 A3003 980 61 -100 270/10 RMK AO2 TSNO
94908KDBQ DBQ20050501211512205/01/05 21:15:31  5-MIN KDBQ 020315Z AUTO 27012KT 10SM FEW050 BKN070  OVC085 03/M03 A3003 980 61 -100 270/12 RMK AO2 TSNO
94908KDBQ DBQ20050501212011505/01/05 21:20:31  5-MIN KDBQ 020320Z AUTO 27010KT 10SM BKN075 OVC085  03/M03 A3003 980 61 -100 270/10 RMK AO2 TSNO
94908KDBQ DBQ20050501212511505/01/05 21:25:31  5-MIN KDBQ 020325Z AUTO 27012KT 10SM BKN070 OVC085  03/M03 A3002 980 61 -100 270/12 RMK AO2 TSNO
94908KDBQ DBQ20050501213011505/01/05 21:30:31  5-MIN KDBQ 020330Z AUTO 27012KT 10SM BKN070 OVC085  03/M03 A3003 980 61 -100 270/12 RMK AO2 TSNO
94908KDBQ DBQ20050501213511505/01/05 21:35:31  5-MIN KDBQ 020335Z AUTO 28011KT 10SM BKN075 OVC085  03/M03 A3003 980 61 -100 280/11 RMK AO2 TSNO
94908KDBQ DBQ20050501214011505/01/05 21:40:31  5-MIN KDBQ 020340Z AUTO 28010KT 10SM BKN075 OVC090  03/M03 A3003 980 61 -100 270/10 RMK AO2 TSNO
94908KDBQ DBQ20050501214512205/01/05 21:45:31  5-MIN KDBQ 020345Z AUTO 28012KT 10SM FEW038 BKN075  OVC090 03/M03 A3003 980 61 -100 280/12 RMK AO2 TSNO
94908KDBQ DBQ20050501215013905/01/05 21:50:31  5-MIN KDBQ 020350Z AUTO 29012KT 10SM FEW038 BKN070  OVC090 03/M03 A3003 980 61 -100 290/12 RMK AO2 SLP177 T00331033 TSNO
94908KDBQ DBQ20050501215513205/01/05 21:55:31  5-MIN KDBQ 020355Z AUTO 29011KT 10SM FEW038 OVC065  03/M03 A3003 980 64 -100 290/11 RMK AO2 SLP176 T00331028 TSNO
94908KDBQ DBQ20050501220011505/01/05 22:00:31  5-MIN KDBQ 020400Z AUTO 30012KT 10SM FEW038 OVC070  03/M02 A3003 980 67 -100 290/12 RMK AO2 TSNO
94908KDBQ DBQ20050501220511505/01/05 22:05:31  5-MIN KDBQ 020405Z AUTO 29010KT 10SM FEW038 OVC065  03/M02 A3003 980 72 -200 290/10 RMK AO2 TSNO
94908KDBQ DBQ20050501221012205/01/05 22:10:31  5-MIN KDBQ 020410Z AUTO 30009KT 10SM FEW038 BKN060  OVC075 03/M02 A3002 980 72 -200 300/09 RMK AO2 TSNO
94908KDBQ DBQ20050501221511505/01/05 22:15:31  5-MIN KDBQ 020415Z AUTO 29009KT 10SM BKN065 OVC080  03/M02 A3002 980 72 -200 290/09 RMK AO2 TSNO
94908KDBQ DBQ20050501222011505/01/05 22:20:31  5-MIN KDBQ 020420Z AUTO 29008KT 10SM BKN070 BKN080  03/M02 A3002 990 72 -200 280/08 RMK AO2 TSNO
94908KDBQ DBQ20050501222511505/01/05 22:25:31  5-MIN KDBQ 020425Z AUTO 28008KT 10SM SCT070 BKN085  03/M02 A3002 990 72 -200 280/08 RMK AO2 TSNO
94908KDBQ DBQ20050501223012205/01/05 22:30:31  5-MIN KDBQ 020430Z AUTO 27009KT 10SM FEW060 BKN085  BKN110 02/M02 A3002 990 75 -200 270/09 RMK AO2 TSNO
94908KDBQ DBQ20050501223511505/01/05 22:35:31  5-MIN KDBQ 020435Z AUTO 27008KT 10SM BKN085 BKN110  03/M02 A3002 990 72 -200 270/08 RMK AO2 TSNO
94908KDBQ DBQ20050501224011505/01/05 22:40:31  5-MIN KDBQ 020440Z AUTO 27009KT 10SM FEW080 BKN100  02/M02 A3002 990 75 -200 270/09 RMK AO2 TSNO
94908KDBQ DBQ20050501224510705/01/05 22:45:31  5-MIN KDBQ 020445Z AUTO 27008KT 10SM BKN100 02/M02 A3002 990 75 -200 270/08 RMK AO2 TSNO
